,Date,Climb,Hold #,Start?,Up Strength,Right Strength,Down Strength,Left Strength,x,y,size_x,size_y
0,10/2/25,IR-YL-V0,1,False,7.33,6,5.0,6,0.7110526315789474,0.12244897959183673,0.2031578947368421,0.12755102040816327
1,10/2/25,IR-YL-V0,2,False,6.33,6,5.0,6,0.38894736842105265,0.42448979591836733,0.12,0.10102040816326531
2,10/2/25,IR-YL-V0,3,False,6.33,5,6.0,6,1.0678947368421052,0.42040816326530606,0.10631578947368421,0.11734693877551021
3,10/2/25,IR-YL-V0,4,False,7.33,5,5.0,5,1.1468421052631579,0.7571428571428571,0.19473684210526315,0.1489795918367347
4,10/2/25,IR-YL-V0,5,True,8.67,8,4.0,5,0.7678947368421053,1.092857142857143,0.06210526315789474,0.0673469387755102
5,10/2/25,IR-YL-V0,6,False,9.33,6,5.0,6,0.9500000000000001,1.1928571428571428,0.05368421052631579,0.04897959183673469
6,10/2/25,IR-YL-V0,7,False,8.67,5,4.0,5,0.6121052631578947,1.5275510204081633,0.05157894736842105,0.04693877551020408
7,10/2/25,IR-YL-V0,8,False,7.67,7,4.0,4,0.7057894736842105,1.6255102040816327,0.07894736842105263,0.08061224489795918
8,10/2/25,IR-YL-V0,9,False,8.67,8,4.0,4,0.9468421052631579,1.8693877551020408,0.06315789473684211,0.07551020408163266
9,10/2/25,IR-YL-V0,10,False,6.33,4,4.0,6,0.36894736842105263,1.95,0.1031578947368421,0.09183673469387756
10,10/2/25,IR-YL-V0,11,False,8.67,4,3.0,4,0.8236842105263158,2.196938775510204,0.06210526315789474,0.053061224489795916
11,10/2/25,IR-YL-V0,12,False,7.33,3,5.0,3,1.0826315789473684,2.404081632653061,0.36736842105263157,0.1816326530612245
12,10/2/25,IR-YL-V0,13,False,6.0,3,5.0,3,0.718421052631579,2.7173469387755103,0.41789473684210526,0.18061224489795918
13,10/2/25,IR-YL-V0,14,False,7.33,3,5.0,3,0.43315789473684213,3.0561224489795915,0.4126315789473684,0.18979591836734694
14,10/2/25,IR-YL-V0,15,False,8.33,8,3.0,4,0.7952631578947369,3.4234693877551017,0.08,0.10612244897959183
15,10/2/25,FR-GR-V0,1,False,6.0,5,6.0,5,0.586144578313253,0.09943820224719102,0.06506024096385542,0.05730337078651685
16,10/2/25,FR-GR-V0,2,False,5.67,4,5.0,4,0.3006024096385542,0.299438202247191,0.21084337349397592,0.1752808988764045
17,10/2/25,FR-GR-V0,3,False,6.33,4,4.0,4,0.5536144578313252,0.5544943820224719,0.2,0.16853932584269662
18,10/2/25,FR-GR-V0,4,False,4.33,3,2.0,3,0.4174698795180723,0.8342696629213483,0.08313253012048193,0.0651685393258427
